RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.5216714227244066,13.431946595943337,3.6228513462725984,0.8547598155796841,73.71333926206431,0.5020310124078923,9.103465752394706,-0.1320636759640955,0.04724371227807117,1
1.5225571741110884,13.239577833839974,3.348771493389853,1.3241000802113174,72.54274993865215,0.2696673598905636,8.927929786690674,-0.006341571194898792,0.01755529458731529,1
1.5187332605742752,13.498999936295359,3.87386147933119,1.1427485128504686,72.78919033415639,0.12580527346914633,8.31239013217532,-0.07275935607706456,0.044885392431139495,1
1.518427511028924,13.857745530123315,3.6529975250136983,0.8228065294154097,72.64412554989441,0.7487169423446147,8.57747627097384,0.058371145252888536,0.029819987867523306,1
1.5169340150655783,12.494063865272384,3.4805277452284233,1.0652794331495283,72.61311899271487,0.24047215150946435,8.82026693822742,-0.04798176588326432,0.11686952346402067,1
1.5221909342199214,13.699438631449391,3.24127624998957,0.9422584104544096,72.91776962069662,0.6285145424323679,8.487190097698875,-0.012746674571469736,0.11356884542939523,1
1.519496090009132,13.746591884697805,3.4512933180076812,0.6283301201625163,72.51904471901783,0.10530980253323008,7.736327870812397,0.009983815561552723,0.028367211851960245,1
1.5124609350144371,13.1502327948364,3.2216662115212333,1.2741779831055495,72.07737433643537,0.15563823963644158,8.420188293553341,0.08762325260082797,0.049301212651044604,1
1.5183997280586938,14.000687070411,3.8907547328048344,1.403293820836393,72.3856149532394,0.6819133699149696,8.79468373643196,-0.06290502855669708,0.18454341385965112,1
1.5197907279983454,13.614178848168125,3.7094269541398943,1.0229114690307783,72.0432972141269,0.2893681792820317,9.150133785095367,0.13883837775412958,0.01987034883494553,1
1.5166750315277788,13.217904246015026,3.5999360487736647,0.906963502022067,71.5918699470717,0.2901271028841021,8.76748322089872,0.005679235325727945,-0.10286961094396084,1
1.5198799351633885,13.436850388859613,3.6117941560173374,1.4997770102650727,73.15196076147065,0.5450623216648227,8.059078137697888,0.02701230691143725,0.02782433666007628,1
1.5184228550202628,13.640607136241215,3.498853706747801,1.102101106363528,72.45303745702768,0.4302759389887423,9.422892863853056,-0.033886102585647726,0.1000802509914904,1
1.520293272682934,13.15785397212795,3.5186157447515805,1.2549252070107155,72.28079647859012,0.26573909210472,8.153651895655033,0.06154796575809611,-0.15127930430217976,1
1.519490455101277,13.039215150617153,3.6631306057186164,1.1901095303077505,73.11464889589958,0.3540794401178473,8.583572593872137,0.034034836511706565,0.10982183134958742,1
